Day,Date,Category,Activity,Start,End,Duration/Notes
D1,06/07,Meal/Break,Breakfast,08:30 AM,09:00 AM,Standard schedule
D1,06/07,Meal/Break,Morning Session Break,~10:45 AM,15 min,Standard schedule
D1,06/07,Meal/Break,Lunch,01:00 PM,02:00 PM,Standard schedule
D1,06/07,Meal/Break,Tea Break,04:00 PM,04:15 PM,Standard schedule
D1,06/07,Meal/Break,Dinner,08:30 PM,10:00 PM,Standard schedule
D1,06/07,Training,Icebreaker & Team Formation,09:00 AM,1:00 PM,
D1,06/07,Training,"Drishtee: Mission, Journey & Organizational Structure",02:30 PM,6:30 PM,
D2,07/07,Meal/Break,Breakfast,08:30 AM,09:00 AM,Standard schedule
D2,07/07,Meal/Break,Morning Session Break,~10:45 AM,15 min,Standard schedule
D2,07/07,Meal/Break,Lunch,01:00 PM,02:00 PM,Standard schedule
D2,07/07,Meal/Break,Tea Break,04:00 PM,04:15 PM,Standard schedule
D2,07/07,Meal/Break,Dinner,08:30 PM,10:00 PM,Standard schedule
D2,07/07,Training,"Drishtee: Mission, Journey & Organizational Structure (PPT to be created)",09:00 AM,1:00 PM,
D2,07/07,Training,"HR, Compliance & Drishtee Systems (Employee Wellbeing)",02:30 PM,6:30 PM,
D3,08/07,Meal/Break,Breakfast,08:30 AM,09:00 AM,Standard schedule
D3,08/07,Meal/Break,Morning Session Break,~10:45 AM,15 min,Standard schedule
D3,08/07,Meal/Break,Lunch,01:00 PM,02:00 PM,Standard schedule
D3,08/07,Meal/Break,Tea Break,04:00 PM,04:15 PM,Standard schedule
D3,08/07,Meal/Break,Dinner,08:30 PM,10:00 PM,Standard schedule
D3,08/07,Training,Decoding the Rural Village Economy,09:00 AM,1:00 PM,
D3,08/07,Training,Field Visit: Village Observation & PRA Practice (group is created - also facilitators are also identified) community engagement,02:30 PM,6:30 PM,
D4,09/07,Meal/Break,Breakfast,08:30 AM,09:00 AM,Standard schedule
D4,09/07,Meal/Break,Morning Session Break,~10:45 AM,15 min,Standard schedule
D4,09/07,Meal/Break,Lunch,01:00 PM,02:00 PM,Standard schedule
D4,09/07,Meal/Break,Tea Break,04:00 PM,04:15 PM,Standard schedule
D4,09/07,Meal/Break,Dinner,08:30 PM,10:00 PM,Standard schedule
D4,09/07,Training,Discussion on Village Observation & PRA Practice connecting with case study; Swavalamban Integration,09:00 AM,1:00 PM,
D4,09/07,Training,"SWSM: Structure, Significance & Community Collectiveness",02:30 PM,6:30 PM,
D5,10/07,Meal/Break,Breakfast,08:30 AM,09:00 AM,Standard schedule
D5,10/07,Meal/Break,Morning Session Break,~10:45 AM,15 min,Standard schedule
D5,10/07,Meal/Break,Lunch,01:00 PM,02:00 PM,Standard schedule
D5,10/07,Meal/Break,Tea Break,04:00 PM,04:15 PM,Standard schedule
D5,10/07,Meal/Break,Dinner,08:30 PM,10:00 PM,Standard schedule
D5,10/07,Training,"Field Visit: Focus on petal in a Vatika, Vaani, Vaibhavi & Mitra - and DDU understanding",09:00 AM,1:00 PM,
D5,10/07,Training,VDP,02:30 PM,6:30 PM,
D6,11/07,Meal/Break,Breakfast,08:30 AM,09:00 AM,Standard schedule
D6,11/07,Meal/Break,Morning Session Break,~10:45 AM,15 min,Standard schedule
D6,11/07,Meal/Break,Lunch,01:00 PM,02:00 PM,Standard schedule
D6,11/07,Meal/Break,Tea Break,04:00 PM,04:15 PM,Standard schedule
D6,11/07,Meal/Break,Dinner,08:30 PM,10:00 PM,Standard schedule
D6,11/07,Training,"Livelihood Points (LP): The Internal Currency; Samriddhi Kosh, Resource Management",09:00 AM,1:00 PM,
D6,11/07,Training,"CBS: Community Balance Sheet — Purpose, Structure & Fellow's Role; Samrudhi Kosh - Register",02:30 PM,6:30 PM,
D7,12/07,Meal/Break,Breakfast,08:30 AM,09:00 AM,Standard schedule
D7,12/07,Meal/Break,Morning Session Break,~10:45 AM,15 min,Standard schedule
D7,12/07,Meal/Break,Lunch,01:00 PM,02:00 PM,Standard schedule
D7,12/07,Meal/Break,Tea Break,04:00 PM,04:15 PM,Standard schedule
D7,12/07,Meal/Break,Dinner,08:30 PM,10:00 PM,Standard schedule
D7,12/07,Training,"CBS: Community Balance Sheet, VDP and LP Understanding",09:00 AM,1:00 PM,
